code,category_id
FMP9998,6
FMP9996,6
FMP9994,9
FMP9992,6
FMP9986,6
FMP9984,6
FMP9976,6
FMP9973,6
FMP9971,6
FMP9968,6
FMP996,9
FMP9958,9
FMP9953,9
FMP9951,9
FMP984,6
FMP983,6
FMP980,6
FMP9793,9
FMP9704,9
FMP9689,9
FMP9608,4
FMP9441,4
FMP9288,9
FMP9286,9
FMP9275,9
FMP9056,9
FMP9053,9
FMP9052,9
FMP900,6
FMP8935,9
FMP8874,4
FMP8844,4
FMP8838,4
FMP8791,4
FMP8787,4
FMP8763,9
FMP873,6
FMP870,6
FMP864,6
FMP855,6
FMP854,6
FMP8461,9
FMP8452,9
FMP825,6
FMP8145,8
FMP7946,9
FMP7786,2
FMP7693,2
FMP7642,2
FMP7582,4
FMP754,6
FMP7353,9
FMP7245,4
FMP7243,4
FMP7241,4
FMP7237,4
FMP6746,9
FMP6574,4
FMP6529,4
FMP6421,4
FMP6349,4
FMP6216,9
FMP6196,9
FMP5884,9
FMP5645,9
FMP562,6
FMP5566.,7
FMP543,6
FMP5397,4
FMP5189,9
FMP5137,9
FMP510,6
FMP486,6
FMP481,6
FMP480,6
FMP4785,9
FMP4761,9
FMP4658,9
FMP4488,9
FMP4252,9
FMP3970,6
FMP3912,6
FMP3901,6
FMP3895,6
FMP3891,6
FMP3853,6
FMP3764,6
FMP3737,6
FMP3731,6
FMP3728,6
FMP3605,6
FMP3600,6
FMP36,8
FMP358,6
FMP3504,6
FMP35,8
FMP3441,6
FMP34,8
FMP3398,6
FMP3396,6
FMP3381,6
FMP3373,6
FMP3233,6
FMP3208,6
FMP3195,6
FMP3191,6
FMP3169,6
FMP3102,6
FMP3081,6
FMP3079,6
FMP3055,6
FMP2875,6
FMP2871,6
FMP284,6
FMP280,6
FMP2791,6
FMP2776,6
FMP2766,6
FMP2746,6
FMP2706,6
FMP27,8
FMP2683,6
FMP2487,6
FMP2483,6
FMP2331,6
FMP2309,6
FMP2242,6
FMP2203,6
FMP2193,6
FMP2189,6
FMP2094,6
FMP202,6
FMP2010,6
FMP198,6
FMP1804,6
FMP1649,6
FMP1643,6
FMP1622,6
FMP1611,6
FMP1545,6
FMP1540,6
FMP15243,7
FMP14570,8
FMP14569,8
FMP14568,8
FMP14567,8
FMP14566,8
FMP14565,8
FMP14564,8
FMP14563,8
FMP14562,8
FMP14561,8
FMP14560,8
FMP14559,8
FMP14558,8
FMP145557,8
FMP14555,8
FMP14554,3
FMP14553,3
FMP14552,3
FMP14551,3
FMP14550,3
FMP14549,3
FMP14548,3
FMP14547,3
FMP14546,3
FMP14545,2
FMP14544,2
FMP14543,2
FMP14542,2
FMP14541,2
FMP14540,2
FMP14539,2
FMP14538,2
FMP14537,2
FMP14536,7
FMP14535,6
FMP14534,6
FMP14533,6
FMP14532,7
FMP14531,7
FMP14530,7
FMP14529,7
FMP14528,7
FMP14527,7
FMP14526,7
FMP14525,7
FMP14524,7
FMP14523,7
FMP14522,7
FMP14521,7
FMP14520,7
FMP14519,7
FMP14518,7
FMP14517,8
FMP14516,8
FMP14515,8
FMP14514,4
FMP14513,10
FMP14512,8
FMP14511,9
FMP14510,11
FMP14509,4
FMP14508,8
FMP14507,6
FMP14506,1
FMP14505,5
FMP14504,1
FMP14503,1
FMP14502,5
FMP14501,5
FMP14500,5
FMP14499,5
FMP14498,5
FMP14497,5
FMP14496,5
FMP14495,9
FMP14494,1
FMP14493,4
FMP14492,9
FMP14491,9
FMP14490,9
FMP14489,9
FMP14488,9
FMP14487,2
FMP14486,9
FMP14485,9
FMP14484,9
FMP14483,6
FMP14482,2
FMP14481,2
FMP14480,10
FMP14478,7
FMP14477,7
FMP14476,7
FMP14475,7
FMP14474,7
FMP14473,7
FMP14472,7
FMP14471,7
FMP14470,7
FMP14469,7
FMP14468,7
FMP14467,7
FMP14466,7
FMP14465,7
FMP14464,7
FMP14463,7
FMP14462,7
FMP14461,7
FMP14460,7
FMP14459,7
FMP14458,7
FMP14457,7
FMP14456,7
FMP14455,7
FMP14454,7
FMP14453,7
FMP14452,7
FMP14451,7
FMP14450,7
FMP14449,7
FMP14448,7
FMP14447,7
FMP14446,7
FMP14445,7
FMP14444,7
FMP14443,7
FMP14442,7
FMP14441,7
FMP14440,7
FMP1444,6
FMP14439,7
FMP14438,7
FMP14437,7
FMP14436,7
FMP14435,7
FMP14434,7
FMP14433,7
FMP14432,7
FMP14431,7
FMP14430,7
FMP14429,7
FMP14428,7
FMP14427,7
FMP14426,7
FMP14425,7
FMP14424,7
FMP14423,7
FMP14422,7
FMP14421,7
FMP14420,7
FMP14419,7
FMP14418,7
FMP14417,7
FMP14416,7
FMP14415,7
FMP14414,7
FMP14413,7
FMP14412,7
FMP14411,7
FMP14410,7
FMP14409,7
FMP14408,7
FMP14407,7
FMP14406,7
FMP14405,7
FMP14404,7
FMP14403,7
FMP14402,7
FMP14401,7
FMP14165,5
FMP14163,5
FMP14162,6
FMP14161,5
FMP14160,6
FMP14157,5
FMP14154,9
FMP14152,7
FMP14150,9
FMP14147,9
FMP14145,9
FMP14144,9
FMP14142,9
FMP14131,7
FMP14129,7
FMP14127,7
FMP14124,7
FMP14123,7
FMP14120,7
FMP14118,7
FMP14117,7
FMP14116,7
FMP14114,7
FMP14109,7
FMP14106,7
FMP14100,7
FMP14099,7
FMP14098,7
FMP14097,7
FMP14096,7
FMP14095,7
FMP14092,7
FMP14089,7
FMP14088,7
FMP14086,7
FMP14085,7
FMP14084,7
FMP14083,7
FMP14082,7
FMP14078,7
FMP14077,7
FMP14076,7
FMP14074,7
FMP14073,7
FMP14070,7
FMP14069,7
FMP14064,7
FMP14063,7
FMP14062,7
FMP14061,7
FMP14059,7
FMP14058,7
FMP14055,7
FMP14054,7
FMP14053,7
FMP14052,7
FMP14051,7
FMP14049,7
FMP14048,7
FMP14047,9
FMP14046,9
FMP14044,9
FMP14042,6
FMP14039,7
FMP14015,7
FMP14012,7
FMP14007,7
FMP14004,7
FMP14003,7
FMP13996,7
FMP13993,7
FMP13989,7
FMP13988,7
FMP13987,9
FMP13984,7
FMP13979,7
FMP13973,7
FMP13972,7
FMP13968,7
FMP13967,7
FMP13965,7
FMP13963,7
FMP13961,7
FMP13960,7
FMP13959,7
FMP13957,7
FMP13956,7
FMP13954,6
FMP13952,7
FMP13951,6
FMP13950,7
FMP13944,7
FMP13942,7
FMP13941,7
FMP13940,7
FMP13939,7
FMP13938,7
FMP13937,7
FMP13936,7
FMP13933,7
FMP13931,7
FMP13930,7
FMP13929,7
FMP13928,7
FMP13925,7
FMP13922,7
FMP13921,7
FMP13915,7
FMP13912,7
FMP13908,7
FMP13907,7
FMP13904,7
FMP13901,7
FMP13900,7
FMP13899,7
FMP13885,5
FMP13874,7
FMP13872,7
FMP13871,7
FMP13869,7
FMP13866,7
FMP13864,7
FMP13862,7
FMP13857,1
FMP13856,9
FMP13855,4
FMP13853,1
FMP13852,9
FMP13850,9
FMP13849,2
FMP13839,10
FMP13838,6
FMP13837,6
FMP13835,6
FMP13832,6
FMP13831,6
FMP13830,6
FMP13829,6
FMP13820,7
FMP13818,9
FMP13817,9
FMP13812,1
FMP13808,7
FMP13807,9
FMP13805,9
FMP13799,9
FMP13798,6
FMP13797,6
FMP13794,9
FMP13793,9
FMP13787,9
FMP13778,6
FMP13775,6
FMP13774,6
FMP13773,6
FMP13772,6
FMP13741,3
FMP13740,9
FMP13736,6
FMP13705,4
FMP13701,10
FMP13691,4
FMP13690,4
FMP13688,9
FMP13687,9
FMP13686,7
FMP13682,8
FMP13680,3
FMP13679,3
FMP13678,3
FMP13677,3
FMP13670,6
FMP13667,4
FMP13664,4
FMP13662,2
FMP13657,7
FMP13654,2
FMP13650,7
FMP13646,9
FMP13641,9
FMP13638,7
FMP13622,7
FMP13621,7
FMP13617,9
FMP13615,8
FMP13610,8
FMP13606,7
FMP13604,7
FMP13601,7
FMP13599,7
FMP13596,7
FMP13578,9
FMP13577,4
FMP13573,10
FMP13570,7
FMP13569,7
FMP13568,7
FMP13567,7
FMP13564,7
FMP13563,7
FMP13562,7
FMP13561,7
FMP13559,7
FMP13555,7
FMP13553,7
FMP13552,7
FMP13548,7
FMP13545,7
FMP13544,7
FMP13543,7
FMP13541,7
FMP13535,7
FMP13533,7
FMP13532,7
FMP13531,7
FMP13530,7
FMP13529,10
FMP13526,7
FMP13520,3
FMP13518,3
FMP13517,3
FMP13516,3
FMP13514,3
FMP13512,1
FMP13511,6
FMP13508,4
FMP13507,9
FMP13499,9
FMP13498,9
FMP13497,4
FMP13490,9
FMP13478,9
FMP13476,9
FMP13464,7
FMP13463,7
FMP13462,7
FMP13461,7
FMP13460,7
FMP13457,7
FMP13453,7
FMP13452,7
FMP13451,7
FMP13449,7
FMP13444,7
FMP13443,7
FMP13442,7
FMP13441,7
FMP13440,7
FMP13439,7
FMP13438,7
FMP13437,7
FMP13433,7
FMP13432,7
FMP13430,7
FMP13428,7
FMP13427,7
FMP13426,7
FMP13422,7
FMP13421,7
FMP13419,5
FMP13413,5
FMP13411,5
FMP13409,5
FMP13406,3
FMP13405,6
FMP13404,10
FMP13401,7
FMP13397,7
FMP13392,7
FMP13384,7
FMP13383,7
FMP13382,7
FMP13379,7
FMP13374,7
FMP13371,7
FMP13370,7
FMP13368,7
FMP13367,7
FMP13354,7
FMP13353,7
FMP13346,7
FMP13344,7
FMP13342,7
FMP13341,7
FMP13340,7
FMP13339,7
FMP13338,7
FMP13337,7
FMP13336,7
FMP13335,7
FMP13332,7
FMP13329,7
FMP13327,7
FMP13326,7
FMP13325,7
FMP13324,7
FMP13322,7
FMP13321,7
FMP13320,7
FMP13319,7
FMP13318,7
FMP13317,7
FMP13316,7
FMP13315,7
FMP13313,7
FMP13310,7
FMP13306,7
FMP13305,7
FMP13304,7
FMP13303,7
FMP13302,7
FMP13301,7
FMP13300,7
FMP13299,7
FMP13298,7
FMP13297,7
FMP13296,7
FMP13295,7
FMP13294,7
FMP13293,7
FMP13292,7
FMP13288,7
FMP13286,7
FMP13285,7
FMP13284,7
FMP13283,7
FMP13282,7
FMP13281,7
FMP13280,7
FMP13278,7
FMP13277,7
FMP13275,7
FMP13273,7
FMP13271,7
FMP13270,7
FMP13268,7
FMP13267,7
FMP13260,7
FMP13259,7
FMP13258,7
FMP13257,7
FMP13256,7
FMP13252,7
FMP13250,7
FMP13249,7
FMP13248,7
FMP13247,7
FMP13246,7
FMP13243,7
FMP13242,7
FMP13241,7
FMP13240,7
FMP1324,6
FMP13239,7
FMP13237,7
FMP13235,7
FMP13234,7
FMP13233,7
FMP13232,7
FMP13231,7
FMP13228,7
FMP13227,7
FMP13226,7
FMP13225,7
FMP13223,7
FMP13221,7
FMP13220,7
FMP13219,7
FMP13218,7
FMP13217,7
FMP13215,7
FMP13214,7
FMP13213,7
FMP13212,7
FMP13209,7
FMP13208,7
FMP13207,7
FMP13206,7
FMP13205,7
FMP13203,7
FMP13202,7
FMP13201,7
FMP13200,7
FMP13199,7
FMP13198,7
FMP13197,7
FMP13196,7
FMP13194,7
FMP13193,7
FMP13186,7
FMP13179,5
FMP13177,5
FMP13175,5
FMP13174,5
FMP13172,5
FMP13171,4
FMP13152,9
FMP13151,5
FMP13148,6
FMP13146,9
FMP13141,3
FMP13129,8
FMP13128,9
FMP13125,1
FMP13124,1
FMP13123,1
FMP13115,1
FMP13114,6
FMP13108,8
FMP13105,8
FMP13103,8
FMP13101,8
FMP13100,8
FMP13099,8
FMP13098,8
FMP13096,8
FMP13094,8
FMP13092,3
FMP13090,1
FMP13085,9
FMP13069,9
FMP13065,9
FMP13064,9
FMP13055,9
FMP13049,9
FMP13036,9
FMP13029,4
FMP13027,4
FMP13025,4
FMP13024,4
FMP13019,4
FMP13018,9
FMP13015,9
FMP13013,4
FMP12998,9
FMP12990,9
FMP12983,1
FMP12979,1
FMP12975,6
FMP12971,6
FMP12970,6
FMP12969,6
FMP12968,6
FMP12965,6
FMP12963,6
FMP12958,6
FMP12948,6
FMP12942,6
FMP12939,6
FMP12933,6
FMP12932,6
FMP12930,6
FMP12929,6
FMP12909,6
FMP12906,6
FMP12905,6
FMP12904,6
FMP12902,6
FMP12901,6
FMP12900,6
FMP12898,6
FMP12897,6
FMP12895,6
FMP12891,6
FMP12889,6
FMP12888,6
FMP12885,6
FMP12884,6
FMP12881,6
FMP12877,6
FMP12876,6
FMP12872,4
FMP12871,2
FMP12870,2
FMP12868,2
FMP12860,10
FMP12859,10
FMP12857,10
FMP12855,10
FMP12854.,10
FMP12853,10
FMP12852,10
FMP12851,10
FMP12850,10
FMP12849,10
FMP12848,10
FMP12847,10
FMP12846,10
FMP12845,10
FMP12844,10
FMP12843,10
FMP12839,9
FMP12820,9
FMP12817,9
FMP12816,9
FMP12812,9
FMP12811,9
FMP12808,9
FMP12804,9
FMP12802.,9
FMP12798,1
FMP12795,9
FMP12793,10
FMP12792,10
FMP12791,10
FMP12772,10
FMP12768,5
FMP12767,5
FMP12765,5
FMP12764,5
FMP12761,5
FMP12760,5
FMP12759,5
FMP12751,5
FMP12749,5
FMP12748,5
FMP12744,5
FMP12743,5
FMP12742,5
FMP12739,5
FMP12737,5
FMP12732,5
FMP12730,5
FMP12722,5
FMP12719,5
FMP12718,5
FMP12714,5
FMP12713,5
FMP12706,5
FMP12705,5
FMP12703,5
FMP12701,5
FMP12699,5
FMP12698,5
FMP12697,5
FMP12694,5
FMP12689,5
FMP12688,5
FMP12685,5
FMP12682,5
FMP12675,5
FMP12674,5
FMP12673,5
FMP12671,5
FMP12667,5
FMP12665,5
FMP12664,5
FMP12662,5
FMP12656,5
FMP12655,5
FMP12653,5
FMP12652,5
FMP12650,5
FMP12643,5
FMP12641,5
FMP12638,5
FMP12637,5
FMP12633,5
FMP12627,5
FMP12602,5
FMP12598,5
FMP12592,5
FMP12589,5
FMP12586,5
FMP12578,5
FMP12577,5
FMP12576,5
FMP12571,5
FMP12570,5
FMP12566,5
FMP12564,5
FMP12553,5
FMP12550,5
FMP12545,5
FMP12534,5
FMP12533,5
FMP12532,5
FMP12521,5
FMP12520,5
FMP1252,6
FMP12519,5
FMP12518,5
FMP12515,5
FMP12514,5
FMP12510,5
FMP12509,5
FMP12508,5
FMP12505,5
FMP12504,5
FMP12501,5
FMP12497,3
FMP12496,3
FMP12495,3
FMP12494,3
FMP12489,3
FMP12488,3
FMP12487,3
FMP12486,3
FMP12485,3
FMP12483,3
FMP12482,3
FMP12481,3
FMP12480,3
FMP12478,3
FMP1247,6
FMP12469,1
FMP12445,1
FMP12428,1
FMP12346,1
FMP12237,1
FMP12187,1
FMP12181,1
FMP12173,1
FMP12081,1
FMP1208,6
FMP12069,1
FMP11904,1
FMP11902,1
FMP11857,1
FMP11848,1
FMP11847,1
FMP11802,1
FMP11801,1
FMP1178,6
FMP11774,1
FMP11768,1
FMP11751,1
FMP11737,1
FMP11732,1
FMP1172,6
FMP1168,6
FMP11655,1
FMP11553,1
FMP11531,1
FMP11525,1
FMP11434,1
FMP11389,1
FMP11283,4
FMP11281,4
FMP11231,9
FMP11154,9
FMP11152,9
FMP11139,9
FMP10926,9
FMP10920,9
FMP10886,9
FMP10881,9
FMP10874,9
FMP10869,9
FMP10856,9
FMP10640,9
FMP10567,9
FMP104,6
FMP10381,2
FMP10372,2
FMP10371,2
FMP10365,2
FMP10348,2
FMP10346,2
FMP10343,2
FMP10340,2
FMP10339,2
FMP10333,2
FMP10330,2
FMP10274,9
FMP100,6
FMP0111.02,5
